Business_ID,Name,Address,Coordinates,Number_of_Reviews,Rating,Zip_Code,Cuisine
UJtUaOXnwtQA1rb-4BHsCg,Hai Sun Chinese Restaurant,651 Flatbush Ave,{40.6575736999512:-73.9600143432617},39,3.0,11225,chinese
3OT1deSiIYhrcXWJ1sD3wA,Shui Mei Cafe,67 E Broadway,{40.7135318:-73.9948386},40,4.5,10002,chinese
7_Dwf153h3_waVtmfYd8QQ,Grand Sichuan NY II,98-108 Queens Blvd,{40.7274381816387:-73.8557088375092},220,4.0,11374,chinese
Y92VtOkTZ6BirkJbUKCMOw,Rong Cheng House,242 W 56th St,{40.76572:-73.98286},30,4.5,10019,chinese
OWALknbRruLyO8KFPATf_Q,New Jin Shing,1794 Broadway,{40.682073:-73.909389},31,4.0,11207,chinese
mOP2_wjgUMqELKDL1Y-U-A,Sammy's Noodle Shop & Grill,453 Ave Of The Americas,{40.73516:-73.99875},441,3.5,10011,chinese
Dr_eezrA2Cc_azMYnwhRkA,Sup Crab,97 Bowery,{40.71733:-73.99502},138,4.0,10002,chinese
d6i6sGHtPmyUkHze5S1lIQ,Hunan House I,382 Summit Ave,{40.72857:-74.06242},31,4.5,07306,chinese
B7bxdtvLYR7Nmex4AIFd4w,RedFarm,2170 Broadway,{40.782051:-73.980415},584,3.5,10024,chinese
FFKUWNdzq1ObyGBDDLqckg,Xi'an Town,165 Bedford Ave,{40.71841:-73.95694},18,4.0,11211,chinese
1dFOF1HPaThSCsdiqR7DrA,Land of Plenty,204E 58th St,{40.76063:-73.96664},299,3.5,10022,chinese
NZb6ILmE0p4gQ5harzrAvA,DaDong New York,3 Bryant Park,{40.75475:-73.98501},560,3.0,10036,chinese
c_Zpnnae22V6MnMtYhtl0Q,Downtown Yummy,39 E Broadway,{40.71345:-73.9962},32,4.0,10002,chinese
rBUTVjRs5CcEMe3dfVRZJQ,Ho Foods,110 E 7th St,{40.72634:-73.98478},242,4.0,10009,chinese
